year,country,energy_balance,value
2014,Albania,Available for final consumption,2151.923
2015,Albania,Available for final consumption,2044.087
2016,Albania,Available for final consumption,2006.921
2017,Albania,Available for final consumption,2117.683
2018,Albania,Available for final consumption,2151.989
2019,Albania,Available for final consumption,2101.42
2020,Albania,Available for final consumption,1988.835
2021,Albania,Available for final consumption,2053.073
2022,Albania,Available for final consumption,1994.774
2023,Albania,Available for final consumption,1944.418
2014,Austria,Available for final consumption,26642.594
2015,Austria,Available for final consumption,27278.875
2016,Austria,Available for final consumption,27964.856
2017,Austria,Available for final consumption,28186.935
2018,Austria,Available for final consumption,27892.29
2019,Austria,Available for final consumption,28339.587
2020,Austria,Available for final consumption,26953.347
2021,Austria,Available for final consumption,28564.123
2022,Austria,Available for final consumption,26771.767
2023,Austria,Available for final consumption,25581.206
2014,Bosnia and Herzegovina,Available for final consumption,3257.588
2015,Bosnia and Herzegovina,Available for final consumption,3477.804
2016,Bosnia and Herzegovina,Available for final consumption,3622.705
2017,Bosnia and Herzegovina,Available for final consumption,3565.146
2018,Bosnia and Herzegovina,Available for final consumption,4311.445
2019,Bosnia and Herzegovina,Available for final consumption,4294.325
2020,Bosnia and Herzegovina,Available for final consumption,4129.598
2021,Bosnia and Herzegovina,Available for final consumption,4396.554
2022,Bosnia and Herzegovina,Available for final consumption,4384.844
2014,Belgium,Available for final consumption,39727.766
2015,Belgium,Available for final consumption,40974.804
2016,Belgium,Available for final consumption,40922.137
2017,Belgium,Available for final consumption,40674.496
2018,Belgium,Available for final consumption,41122.603
2019,Belgium,Available for final consumption,40118.065
2020,Belgium,Available for final consumption,38240.248
2021,Belgium,Available for final consumption,40971.037
2022,Belgium,Available for final consumption,37096.063
2023,Belgium,Available for final consumption,36558.917
2014,Bulgaria,Available for final consumption,9495.222
2015,Bulgaria,Available for final consumption,10065.15
2016,Bulgaria,Available for final consumption,10039.888
2017,Bulgaria,Available for final consumption,10269.856
2018,Bulgaria,Available for final consumption,10381.904
2019,Bulgaria,Available for final consumption,10151.357
2020,Bulgaria,Available for final consumption,10183.195
2021,Bulgaria,Available for final consumption,10823.27
2022,Bulgaria,Available for final consumption,10264.485
2023,Bulgaria,Available for final consumption,9903.322
2014,Cyprus,Available for final consumption,1410.442
2015,Cyprus,Available for final consumption,1437.817
2016,Cyprus,Available for final consumption,1513.183
2017,Cyprus,Available for final consumption,1590.235
2018,Cyprus,Available for final consumption,1634.286
2019,Cyprus,Available for final consumption,1663.13
2020,Cyprus,Available for final consumption,1568.352
2021,Cyprus,Available for final consumption,1622.706
2022,Cyprus,Available for final consumption,1669.537
2023,Cyprus,Available for final consumption,1682.805
2014,Czechia,Available for final consumption,25236.72
2015,Czechia,Available for final consumption,25906.999
2016,Czechia,Available for final consumption,25881.45
2017,Czechia,Available for final consumption,27345.69
2018,Czechia,Available for final consumption,27163.345
2019,Czechia,Available for final consumption,27151.005
2020,Czechia,Available for final consumption,26112.484
2021,Czechia,Available for final consumption,28249.922
2022,Czechia,Available for final consumption,27183.058
2023,Czechia,Available for final consumption,25301.714
2014,Germany,Available for final consumption,218966.961
2015,Germany,Available for final consumption,220828.704
2016,Germany,Available for final consumption,223485.083
2017,Germany,Available for final consumption,228672.699
2018,Germany,Available for final consumption,224061.003
2019,Germany,Available for final consumption,225460.935
2020,Germany,Available for final consumption,214491.428
2021,Germany,Available for final consumption,219164.864
2022,Germany,Available for final consumption,210746.446
2023,Germany,Available for final consumption,194102.844
2014,Denmark,Available for final consumption,13314.013
2015,Denmark,Available for final consumption,13720.263
2016,Denmark,Available for final consumption,14136.625
