year,country,energy_balance,Sum of all coal products,Sum of all fuel products,Sum of all peat products,Sum of all petroleum products,Sum of all renewable energies
1990,Ireland,Agricultural,0,252,0,215,0
1990,Ireland,Available final energy consumption,840,7852,757,4127,108
1990,Ireland,Commercial services,1,508,0,294,0
1990,Ireland,Commercial services- Accommodation and Food Services,0,0,0,0,0
1990,Ireland,"Commercial services- Financial, Insurance and Real Estate Activities",0,0,0,0,0
1990,Ireland,Commercial services- Information and Communication,0,0,0,0,0
1990,Ireland,Commercial services- Other Services Sectors,0,0,0,0,0
1990,Ireland,Commercial services- Transportation and Storage,0,0,0,0,0
1990,Ireland,"Commercial services- Wholesale, Retail, and Vehicle Repair",0,0,0,0,0
1990,Ireland,Exchanges and transfers- electricity,0,0,0,0,0
1990,Ireland,Exchanges and transfers- heat,0,0,0,0,0
1990,Ireland,Exchanges and transfers- other (excluding electricity and heat),0,0,0,0,0
1990,Ireland,Exports,18,716,4,693,0
1990,Ireland,Final non energy consumption feedstocks,0,617,0,186,0
1990,Ireland,Fisheries,0,28,0,28,0
1990,Ireland,Imports,2010,7813,0,5803,0
1990,Ireland,Indigenous production,16,3471,1411,0,168
1990,Ireland,Industry- basic metals and fabricated metal products,1,314,0,242,0
1990,Ireland,Industry- chemicals and man-made fibres,18,183,0,42,0
1990,Ireland,Industry- construction,0,50,0,37,0
1990,Ireland,Industry- electrical and optical equipment,0,62,0,32,0
1990,Ireland,Industry- food and beverages,70,422,0,138,2
1990,Ireland,Industry- machinery and equipment n.e.c,0,25,0,15,0
1990,Ireland,Industry- non energy mining,0,37,0,25,0
1990,Ireland,Industry- other manufacturing,0,176,0,46,0
1990,Ireland,Industry- other non-metallic mineral products,124,300,0,89,0
1990,Ireland,"Industry- pulp, paper, publishing and printing",0,18,0,9,0
1990,Ireland,Industry- rubber and plastic products,0,33,0,16,0
1990,Ireland,Industry- textiles and textile products,3,50,0,28,0
1990,Ireland,Industry- transport equipment manufacture,0,14,0,10,0
1990,Ireland,Industry- wood and wood products,0,74,0,4,61
1990,Ireland,Mar. bunkers,0,18,0,18,0
1990,Ireland,Non-energy consumption,0,617,0,186,0
1990,Ireland,Own use and distribution losses,0,288,8,63,0
1990,Ireland,Primary energy requirement excluding non energy,2085,9515,1377,4439,168
1990,Ireland,Primary energy supply including non energy,2085,10131,1377,4625,168
1990,Ireland,Public services,0,428,32,276,0
1990,Ireland,Public services- Education,0,0,0,0,0
1990,Ireland,"Public services- Health, Residential Care and Social Work Activities",0,0,0,0,0
1990,Ireland,Public services- Public Administration,0,0,0,0,0
1990,Ireland,"Public services- Water Supply, Sewerage, and Waste Management",0,0,0,0,0
1990,Ireland,Residential,626,2258,725,389,45
1990,Ireland,Statistical difference,0,0,0,0,0
1990,Ireland,Stock change,77,0,0,0,0
1990,Ireland,Sum of all commercial and public services,1,936,32,569,0
1990,Ireland,Sum of all exchanges and transfers,0,0,0,0,0
1990,Ireland,Sum of all industry sub-sectors,216,1756,0,733,63
1990,Ireland,Sum of all transformation input,1245,5124,788,2205,0
1990,Ireland,Sum of all transformation output,0,3133,175,1771,0
1990,Ireland,Sum of all transport,0,2019,0,2017,0
1990,Ireland,Total final energy consumption,843,7249,757,3952,108
1990,Ireland,Transformation input- briquetting plants,0,184,184,0,0
1990,Ireland,Transformation input- combined heat and power plants,4,41,12,1,0
1990,Ireland,Transformation input- oil refineries and other energy sectors,0,1871,0,1863,0
1990,Ireland,Transformation input- public thermal power plants,1241,2993,592,341,0
1990,Ireland,Transformation input- pumped storage consumption,0,35,0,0,0
1990,Ireland,Transformation output- briquetting plants,0,175,175,0,0
1990,Ireland,Transformation output- combined heat and power plants- electricity,0,17,0,0,0
1990,Ireland,Transformation output- combined heat and power plants- heat,0,0,0,0,0
1990,Ireland,Transformation output- oil refineries,0,1771,0,1771,0
1990,Ireland,Transformation output- public thermal power plants,0,1146,0,0,0
1990,Ireland,Transformation output- pumped storage consumption,0,25,0,0,0
1990,Ireland,Transport - navigation,0,7,0,7,0
1990,Ireland,Transport- Sum of all aviation transport,0,375,0,375,0
1990,Ireland,Transport- domestic aviation,0,16,0,16,0
1990,Ireland,Transport- fuel tourism,0,0,0,0,0
1990,Ireland,Transport- international aviation,0,359,0,359,0
1990,Ireland,Transport- rail,0,45,0,43,0
1990,Ireland,Transport- road freight,0,345,0,345,0
1990,Ireland,Transport- road light goods vehicle,0,0,0,0,0
1990,Ireland,Transport- road private car,0,926,0,926,0
1990,Ireland,Transport- road public passenger services,0,52,0,52,0
1990,Ireland,Transport- sum of all road transport,0,1324,0,1324,0
1990,Ireland,"Transport- unspecified (excluding road, rail and aviation)",0,268,0,268,0
1991,Ireland,Agricultural,0,261,0,223,0
1991,Ireland,Available final energy consumption,819,8035,640,4302,104
1991,Ireland,Commercial services,0,531,0,294,0
1991,Ireland,Commercial services- Accommodation and Food Services,0,0,0,0,0
1991,Ireland,"Commercial services- Financial, Insurance and Real Estate Activities",0,0,0,0,0
1991,Ireland,Commercial services- Information and Communication,0,0,0,0,0
1991,Ireland,Commercial services- Other Services Sectors,0,0,0,0,0
1991,Ireland,Commercial services- Transportation and Storage,0,0,0,0,0
1991,Ireland,"Commercial services- Wholesale, Retail, and Vehicle Repair",0,0,0,0,0
1991,Ireland,Exchanges and transfers- electricity,0,0,0,0,0
1991,Ireland,Exchanges and transfers- heat,0,0,0,0,0
1991,Ireland,Exchanges and transfers- other (excluding electricity and heat),0,0,0,0,0
1991,Ireland,Exports,17,758,4,736,0
1991,Ireland,Final non energy consumption feedstocks,0,638,0,190,0
1991,Ireland,Fisheries,0,31,0,31,0
1991,Ireland,Imports,2021,7716,0,5695,0
1991,Ireland,Indigenous production,1,3291,1200,0,168
1991,Ireland,Industry- basic metals and fabricated metal products,0,292,0,248,0
1991,Ireland,Industry- chemicals and man-made fibres,0,198,0,44,0
1991,Ireland,Industry- construction,0,53,0,39,0
1991,Ireland,Industry- electrical and optical equipment,8,118,0,46,0
1991,Ireland,Industry- food and beverages,56,433,0,167,3
1991,Ireland,Industry- machinery and equipment n.e.c,0,41,0,29,0
1991,Ireland,Industry- non energy mining,0,91,0,57,0
1991,Ireland,Industry- other manufacturing,0,91,0,5,0
1991,Ireland,Industry- other non-metallic mineral products,134,273,0,53,0
1991,Ireland,"Industry- pulp, paper, publishing and printing",0,26,0,7,0
1991,Ireland,Industry- rubber and plastic products,0,33,0,10,0
1991,Ireland,Industry- textiles and textile products,19,56,0,26,0
1991,Ireland,Industry- transport equipment manufacture,0,10,0,4,0
1991,Ireland,Industry- wood and wood products,0,83,0,5,61
1991,Ireland,Mar. bunkers,0,34,0,34,0
1991,Ireland,Non-energy consumption,0,638,0,190,0
1991,Ireland,Own use and distribution losses,0,296,6,61,0
1991,Ireland,Primary energy requirement excluding non energy,2044,9703,1276,4739,168
1991,Ireland,Primary energy supply including non energy,2044,10341,1276,4929,168
