STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2014,,2151.923,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2015,,2044.087,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2016,,2006.921,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2017,,2117.683,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2018,,2151.989,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2019,,2101.420,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2020,,1988.835,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2021,,2053.073,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2022,,1994.774,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2023,,1944.418,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2014,,26642.594,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2015,,27278.875,,,,,
